43.09 ms ; (null) 
48.86 ms ; (null) 
28.86 ms ; (null) 
21.81 ms ; (null) 
26.04 ms ; (null) 
21.48 ms ; (null) 
47.16 ms ; (null) 
0.00 ms ; (null) 
0.38 ms ; (null) 
25.44 ms ; (null) 
27.01 ms ; (null) 
27.01 ms ; (null) 
43.35 ms ; (null) 
43.02 ms ; (null) 
47.17 ms ; (null) 
45.81 ms ; (null) 
48.19 ms ; (null) 
52.70 ms ; (null) 
45.59 ms ; (null) 
52.77 ms ; (null) 
29.25 ms ; (null) 
30.91 ms ; (null) 
41.83 ms ; (null) 
48.70 ms ; (null) 
50.13 ms ; (null) 
49.36 ms ; (null) 
41.34 ms ; (null) 
41.98 ms ; (null) 
44.56 ms ; (null) 
53.51 ms ; (null) 
127.87 ms ; (null) 
122.54 ms ; (null) 
125.58 ms ; (null) 
129.75 ms ; (null) 
115.66 ms ; (null) 
122.22 ms ; (null) 
12528.92 ms ; (null) 
4414.38 ms ; (null) 
4427.89 ms ; (null) 
4354.20 ms ; (null) 
12642.33 ms ; (null) 
4639.20 ms ; (null) 
4529.31 ms ; (null) 
12347.73 ms ; (null) 
12500.98 ms ; (null) 
12612.66 ms ; (null) 
13602.32 ms ; (null) 
